wall_time_s,mode,can_id,input_x,input_y,intent_class,intent_heading_deg,supervisor_decision,reason,would_output_x,would_output_y,forwarded_x,forwarded_y,map_age_ms,round_trip_ms,envelope_age_ms,interval_ms,forwarded_to_controller,forwarded_to_joystick,transform_errors
1788384174.465389,enforce,02000200,0,0,released,,WAITING,operator_released,0,0,0,0,,,,,183,305,0
1788384174.475391,enforce,02000200,0,0,released,,WAITING,operator_released,0,0,0,0,,,,10.001,185,305,0
1788384174.485399,enforce,02000200,0,0,released,,WAITING,operator_released,0,0,0,0,,,,10.008,186,306,0
1788384174.495402,enforce,02000200,0,0,released,,WAITING,operator_released,0,0,0,0,,,,10.004,187,306,0
1788384174.505830,enforce,02000200,0,0,released,,WAITING,operator_released,0,0,0,0,,,,10.428,188,307,0
1788384174.515401,enforce,02000200,0,0,released,,WAITING,operator_released,0,0,0,0,,,,9.571,189,307,0
1788384174.525393,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,182.363,59.959,0.127,9.992,191,307,0
1788384174.535408,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,182.363,59.959,10.034,10.014,192,308,0
1788384174.545430,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,182.363,59.959,20.045,10.022,193,308,0
1788384174.555756,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,182.363,59.959,30.376,10.327,195,309,0
1788384174.565410,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,30.362,40.014,0.049,9.654,196,309,0
1788384174.575399,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,30.362,40.014,10.053,9.990,198,309,0
1788384174.585411,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,30.362,40.014,20.020,10.012,199,310,0
1788384174.595405,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,30.362,40.014,30.011,9.994,200,310,0
1788384174.605705,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,30.362,40.014,40.310,10.299,201,311,0
1788384174.615422,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,80.633,40.024,0.046,9.717,202,311,0
1788384174.625402,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,80.633,40.024,10.048,9.981,204,311,0
1788384174.635412,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,80.633,40.024,20.004,10.010,205,312,0
1788384174.645430,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,80.633,40.024,30.022,10.018,206,312,0
1788384174.655627,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,80.633,40.024,40.222,10.198,208,313,0
1788384174.665434,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,130.283,40.035,0.050,9.807,209,313,0
1788384174.675417,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,130.283,40.035,10.048,9.983,211,313,0
1788384174.685426,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,130.283,40.035,20.008,10.009,212,315,0
1788384174.695427,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,130.283,40.035,30.002,10.001,213,315,0
1788384174.705642,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,130.283,40.035,40.220,10.214,214,317,0
1788384174.715433,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,130.283,40.035,50.009,9.792,215,318,0
1788384174.725428,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,180.684,50.008,0.095,9.995,218,318,0
1788384174.735429,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,180.684,50.008,10.018,10.001,219,319,0
1788384174.745469,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,180.684,50.008,20.058,10.040,220,320,0
1788384174.755428,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,180.684,50.008,30.016,9.959,222,320,0
1788384174.765440,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,180.684,50.008,40.026,10.012,223,320,0
1788384174.775439,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.858,50.014,0.097,9.999,225,320,0
1788384174.785447,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.858,50.014,10.016,9.999,226,320,0
1788384174.795449,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.858,50.014,20.023,10.011,227,320,0
1788384174.805463,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.858,50.014,30.033,10.013,228,321,0
1788384174.815451,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.797,40.003,0.047,9.980,229,321,0
1788384174.825442,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.797,40.003,10.061,9.999,231,321,0
1788384174.835441,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.797,40.003,20.015,9.999,232,322,0
1788384174.845476,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.797,40.003,30.043,10.035,233,322,0
1788384174.855455,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.797,40.003,40.023,9.980,235,323,0
1788384174.865453,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.797,40.003,50.025,9.998,236,323,0
1788384174.875453,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.957,50.009,0.095,9.999,238,323,0
1788384174.885444,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.957,50.009,10.007,9.992,239,324,0
1788384174.895471,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.957,50.009,20.034,10.027,240,324,0
1788384174.905467,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.957,50.009,30.028,9.996,241,325,0
1788384174.915454,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.957,50.009,40.013,9.988,242,325,0
1788384174.925462,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,82.016,50.007,0.091,10.008,244,325,0
1788384174.935454,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,82.016,50.007,10.010,9.992,245,326,0
1788384174.945499,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,82.016,50.007,20.046,10.036,246,326,0
1788384174.955461,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,82.016,50.007,30.017,9.970,248,328,0
1788384174.965469,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,131.967,40.003,0.049,10.009,249,329,0
1788384174.975475,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,131.967,40.003,10.079,10.006,251,329,0
1788384174.985458,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,131.967,40.003,20.011,9.983,252,330,0
1788384174.995468,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,131.967,40.003,30.016,10.010,253,330,0
1788384175.005466,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,131.967,40.003,40.013,9.997,254,331,0
1788384175.015470,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,181.825,39.994,0.049,10.004,255,331,0
1788384175.025487,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,181.825,39.994,10.081,10.017,257,331,0
1788384175.035468,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,181.825,39.994,20.014,9.981,258,332,0
1788384175.045505,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,181.825,39.994,30.041,10.028,259,332,0
1788384175.055473,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,181.825,39.994,40.018,9.977,261,333,0
1788384175.065481,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.857,39.985,0.048,9.999,262,333,0
1788384175.075489,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.857,39.985,10.079,10.016,264,333,0
1788384175.085479,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.857,39.985,20.021,9.990,265,334,0
1788384175.095481,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.857,39.985,30.017,10.002,266,334,0
1788384175.105487,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.857,39.985,40.028,10.006,267,335,0
1788384175.115480,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,31.857,39.985,50.018,9.993,268,335,0
1788384175.125497,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.942,50.004,0.092,10.017,270,335,0
1788384175.135489,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.942,50.004,10.009,9.992,271,336,0
1788384175.145518,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.942,50.004,20.031,10.021,272,336,0
1788384175.155495,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,81.942,50.004,30.016,9.985,274,337,0
1788384175.165494,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,29.340,39.993,0.047,9.991,275,337,0
1788384175.175499,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,29.340,39.993,10.074,10.014,277,337,0
1788384175.185501,enforce,02000200,0,0,released,,STOP,operator_released,0,0,0,0,29.340,39.993,20.029,10.002,278,338,0
1788384175.195503,enforce,02000200,-1,0,released,,STOP,operator_released,0,0,0,0,29.340,39.993,30.032,10.002,279,338,0
1788384175.205533,enforce,02000200,-1,-3,released,,STOP,operator_released,0,0,0,0,29.340,39.993,40.060,10.030,280,340,0
1788384175.215494,enforce,02000200,-1,-5,reverse,168.690,STOP,envelope_precedes_current_input,0,0,0,0,79.450,40.036,0.069,9.961,281,341,0
1788384175.225504,enforce,02000200,-1,-8,reverse,172.875,STOP,envelope_precedes_current_input,0,0,0,0,79.450,40.036,10.055,10.011,283,341,0
1788384175.235509,enforce,02000200,-1,-12,reverse,175.236,STOP,envelope_precedes_current_input,0,0,0,0,79.450,40.036,19.994,10.005,284,342,0
1788384175.245512,enforce,02000200,-1,-15,reverse,176.186,STOP,envelope_precedes_current_input,0,0,0,0,79.450,40.036,29.998,10.002,286,343,0
1788384175.255509,enforce,02000200,-1,-18,reverse,176.820,STOP,envelope_precedes_current_input,0,0,0,0,79.450,40.036,39.994,9.997,288,344,0
1788384175.265515,enforce,02000200,-1,-21,reverse,177.274,SLOW,waiting_for_clear_envelopes,0,0,0,0,129.254,40.005,0.067,10.007,289,344,0
